timestamp,ax,ay,az,label
1494557,13,-26,965,lying
1494568,18,-28,967,lying
1494579,16,-23,967,lying
1494590,15,-23,968,lying
1494601,15,-23,966,lying
1494612,15,-29,969,lying
1494623,15,-29,962,lying
1494634,15,-26,965,lying
1494645,15,-26,964,lying
1494656,13,-26,968,lying
1494667,11,-23,964,lying
1494678,17,-26,967,lying
1494689,21,-27,966,lying
1494700,12,-27,966,lying
1494711,15,-25,963,lying
1494722,15,-30,969,lying
1494733,14,-29,970,lying
1494744,19,-25,968,lying
1494755,16,-29,969,lying
1494766,14,-28,972,lying
1494777,20,-23,970,lying
1494788,13,-28,966,lying
1494799,15,-24,963,lying
1494810,14,-26,964,lying
1494821,10,-28,967,lying
1494832,19,-25,967,lying
1494843,15,-30,964,lying
1494854,17,-31,967,lying
1494865,15,-27,967,lying
1494876,14,-28,965,lying
1494887,13,-25,962,lying
1494898,12,-27,967,lying
1494909,17,-28,971,lying
1494920,13,-23,968,lying
1494931,11,-27,968,lying
1494942,11,-23,964,lying
1494953,9,-26,967,lying
1494964,16,-23,964,lying
1494975,16,-24,965,lying
1494986,14,-29,963,lying
1494997,18,-28,963,lying
1495008,16,-31,966,lying
1495019,15,-30,966,lying
1495030,14,-29,968,lying
1495041,14,-26,967,lying
1495052,17,-27,963,lying
1495063,13,-25,967,lying
1495074,14,-30,966,lying
1495085,10,-27,963,lying
1495096,16,-29,967,lying
1495107,14,-26,965,lying
1495118,17,-29,966,lying
1495129,20,-26,965,lying
1495140,18,-26,966,lying
1495151,18,-26,966,lying
1495162,16,-26,969,lying
1495173,11,-26,961,lying
1495184,16,-28,967,lying
1495195,16,-25,964,lying
1495206,22,-29,968,lying
1495217,18,-25,967,lying
1495228,13,-31,967,lying
1495239,15,-26,970,lying
1495250,13,-19,965,lying
1495261,16,-24,964,lying
1495272,12,-24,961,lying
