timestamp,ax,ay,az,label
293972,-25152,32764,-32764,abnormal
293972,7689,6205,11992,abnormal
293972,-10965,-1710,6485,abnormal
293972,-9219,-1699,17242,abnormal
293972,8185,1409,2333,abnormal
293972,4843,-3531,9765,abnormal
293972,-2822,2891,12620,abnormal
293972,-3945,-2511,20151,abnormal
293972,9864,4423,16409,abnormal
293972,118,-4512,3423,abnormal
293972,-9404,-1,1807,abnormal
293972,-5916,843,8487,abnormal
293972,7539,-302,9010,abnormal
293972,6426,4259,5971,abnormal
293972,-1126,-5707,-5029,abnormal
293972,-883,1375,9091,abnormal
293972,-74,-2132,7289,abnormal
293972,4120,4562,14974,abnormal
293972,-2177,-2160,9452,abnormal
293972,-3671,-3730,20875,abnormal
293972,-4665,5595,23961,abnormal
293972,783,-1650,15600,abnormal
293972,11772,1292,6191,abnormal
293972,-9285,-6012,-9186,abnormal
293972,1439,-2081,2746,abnormal
293972,13910,6364,17725,abnormal
293972,-7043,-186,18817,abnormal
293972,-16237,-3977,11981,abnormal
293973,16568,-2401,8562,abnormal
293973,1919,7844,18476,abnormal
293973,-21498,-6666,27,abnormal
293973,6338,-140,9390,abnormal
293973,18579,737,-7802,abnormal
293973,-4857,-754,8,abnormal
293973,-4616,1356,-574,abnormal
293973,5359,-3529,9577,abnormal
293973,-8952,1838,4921,abnormal
293973,-3147,-2749,906,abnormal
293973,10956,4886,19027,abnormal
293973,-4857,-6753,13160,abnormal
293973,-7410,3200,19396,abnormal
293973,6370,168,1119,abnormal
293973,13250,-2511,5145,abnormal
293973,-13553,-2351,3162,abnormal
293973,-6533,508,11066,abnormal
293973,16020,5411,22897,abnormal
293973,-7375,-5072,11044,abnormal
293973,-11511,-1013,16575,abnormal
293973,8914,5585,9064,abnormal
293973,10057,-2288,-504,abnormal
293973,-9980,-1798,-13393,abnormal
293973,-324,-4519,-11394,abnormal
293973,9039,6207,17594,abnormal
293973,75,-1940,10102,abnormal
293973,-7433,3222,28063,abnormal
293973,4243,-2453,-1865,abnormal
293973,-4842,-1818,14729,abnormal
293973,-274,2211,-10320,abnormal
293973,-2008,-2183,13806,abnormal
293973,5569,-2263,-711,abnormal
293973,5611,1256,16935,abnormal
293973,199,4486,13067,abnormal
293973,-2378,-4725,13421,abnormal
293973,-4168,-1679,10973,abnormal
293990,-9360,1223,-898,abnormal
293990,5470,-1756,14100,abnormal
293990,10124,2150,15192,abnormal
293990,-8425,-1987,21567,abnormal
293990,-2016,1857,6734,abnormal
293990,11155,6,-6758,abnormal
293990,-788,-5042,-12145,abnormal
293990,-4490,-566,-3044,abnormal
293990,-10693,3411,21290,abnormal
293990,4399,1214,13322,abnormal
293990,16379,-856,21237,abnormal
293990,-6163,1400,1692,abnormal
293990,-16264,-5303,-1349,abnormal
293990,10342,2030,-5843,abnormal
293990,13333,-2235,-2510,abnormal
293990,-14234,1356,9097,abnormal
293990,-2674,-3187,21454,abnormal
293990,19068,8932,32764,abnormal
293990,-18634,-3174,3662,abnormal
