timestamp,ax,ay,az,label
74329,-32764,32764,-32764,normal
74329,-2094,-713,4708,normal
74329,1548,-969,4485,normal
74329,1310,1222,10088,normal
74329,-2860,132,11414,normal
74329,1420,-491,15031,normal
74329,65,1366,16164,normal
74329,-3430,-1847,7736,normal
74329,-75,-760,6787,normal
74329,4267,585,5101,normal
74329,166,-2072,1109,normal
74329,-1361,590,943,normal
74329,931,-1532,7504,normal
74329,1825,1786,14666,normal
74329,-2888,-55,10430,normal
74329,-1907,-1148,11106,normal
74329,2499,82,7241,normal
74329,-797,-1886,7516,normal
74329,241,702,5498,normal
74329,-744,-334,3198,normal
74329,3654,-1680,7498,normal
74329,-46,-302,4720,normal
74329,-2438,2188,12670,normal
74329,-1659,-2369,10858,normal
74329,2724,616,11780,normal
74329,-2461,-646,9524,normal
74329,-538,53,7357,normal
74329,1812,-1422,5981,normal
74329,766,-514,5568,normal
74329,132,72,7361,normal
74329,-316,1756,10694,normal
74329,1284,-2109,9718,normal
74329,-593,439,9196,normal
74329,-1915,-133,10152,normal
74329,-845,-216,11783,normal
74329,1801,-240,8199,normal
74329,-258,-1900,7688,normal
74329,1519,3023,6180,normal
74329,1021,-2661,7437,normal
74329,190,1198,5480,normal
74329,-1364,-1379,8670,normal
74329,-54,721,8698,normal
74329,-568,-141,6876,normal
74329,760,-1384,6814,normal
74329,894,-343,4916,normal
74329,-1633,289,8175,normal
74329,749,-1399,8357,normal
74329,1243,275,10240,normal
74329,-15,145,9945,normal
74329,-717,-1150,8374,normal
74329,1159,1404,12525,normal
74329,-1490,-2954,8996,normal
74329,-843,664,8215,normal
74329,-414,-26,9472,normal
74329,1929,343,5147,normal
74329,1956,-1450,4602,normal
74329,-605,-685,2972,normal
74329,-2087,1065,7543,normal
74329,-238,-1041,9122,normal
74329,2814,-923,9729,normal
74329,-1344,1461,9035,normal
74329,-2287,-1573,8189,normal
74329,1648,928,10636,normal
74329,3066,102,10158,normal
74346,-2564,-2287,4686,normal
74346,-1084,1321,6103,normal
74346,2322,-1436,8260,normal
74346,1892,1836,6516,normal
74346,-2883,-1894,3666,normal
74346,23,132,4952,normal
74346,2101,-101,10452,normal
74346,-1799,-774,7627,normal
74346,-1812,130,6836,normal
74346,2931,-346,9196,normal
74346,2358,-50,6498,normal
74346,-1577,816,9117,normal
74346,-852,-1141,6340,normal
74346,-846,-759,5020,normal
74346,663,-788,6330,normal
74346,566,391,7667,normal
74346,-191,1650,8854,normal
74346,-557,-4703,5220,normal
74346,1490,2664,10497,normal
74346,-1574,-43,13336,normal
74346,226,-292,10123,normal
74346,1361,-641,7514,normal
74346,-286,-165,5386,normal
74346,386,-111,8646,normal
74346,-2146,-1068,6022,normal
74346,-1612,-867,7259,normal
74346,3107,370,11051,normal
74346,1023,1083,8107,normal
74346,-1326,-257,10422,normal
74346,1334,-1113,6648,normal
74346,-992,-532,7960,normal
74346,-104,1150,8690,normal
74346,-620,-2748,5004,normal
74346,1738,2546,8361,normal
74346,7,-4248,3735,normal
74346,-810,3790,9526,normal
74346,-1960,-2235,10978,normal
74346,3203,72,9606,normal
74346,868,-32,10639,normal
74346,-3081,-541,4568,normal
74346,702,936,9077,normal
74346,2482,-3165,5288,normal
74346,-481,2149,5728,normal
74346,-2108,-1754,7550,normal
74346,-334,197,5620,normal
74346,2399,-306,12036,normal
74346,208,224,5337,normal
74346,-2247,-409,9320,normal
74346,1443,-4,8825,normal
74346,890,-1845,10099,normal
74346,-2020,2976,7302,normal
74346,-1062,-3170,4060,normal
74346,4971,657,7956,normal
74346,-1382,-208,6450,normal
74346,-3807,-439,7485,normal
74346,657,754,9366,normal
74346,3702,-2938,8577,normal
74346,194,2447,9309,normal
74346,-3720,-998,8470,normal
74346,1465,1147,10797,normal
74346,3275,-2701,7415,normal
74346,-2068,300,4566,normal
74346,-2484,500,10246,normal
74346,2038,-1200,8078,normal
74364,1547,-364,10747,normal
74364,-789,819,6065,normal
74364,-836,-161,10398,normal
74364,2538,-747,8772,normal
74364,-805,-616,5537,normal
74364,-2030,1103,5098,normal
74364,1891,-1784,4618,normal
74364,3085,-1322,7450,normal
74364,-3693,-186,8932,normal
74364,-3586,35,12701,normal
74364,2811,2101,13224,normal
74364,5374,-2066,11165,normal
74364,-692,1272,4587,normal
74364,-4764,-2149,5391,normal
74364,-80,-1161,5186,normal
74364,2797,558,10548,normal
74364,-1033,-1419,4527,normal
74364,161,1103,9805,normal
74364,1591,-416,11526,normal
74364,-1925,1310,10134,normal
74364,-823,-756,7958,normal
74364,2243,-1536,3540,normal
74364,904,89,4133,normal
74364,-1604,-1397,3969,normal
74364,-1001,575,5620,normal
74364,1472,305,9936,normal
74364,756,-2379,9103,normal
74364,110,3670,16169,normal
74364,-3538,-1703,10593,normal
74364,1778,232,8737,normal
74364,2284,-2125,4433,normal
74364,-378,478,3540,normal
74364,-903,-770,8963,normal
74364,1139,-451,7839,normal
74364,-388,959,10942,normal
74364,-1313,-1451,7444,normal
74364,1019,1854,12266,normal
74364,1326,-568,10541,normal
74364,-2020,-1740,4119,normal
74364,-780,-831,6433,normal
74364,1682,641,5263,normal
74364,2101,-1010,10234,normal
74364,-102,201,7256,normal
74364,-946,117,13302,normal
74364,-1147,894,10883,normal
74364,-1535,-1343,9167,normal
74364,2852,236,7883,normal
74364,-847,-1434,-47,normal
74364,197,-734,5388,normal
74364,-189,-466,4237,normal
74364,7,366,10564,normal
74364,1043,-535,10243,normal
74364,1195,420,10273,normal
74364,-1957,980,13819,normal
74364,-1825,-1942,7726,normal
74364,1445,836,7990,normal
74364,196,-2893,2349,normal
74364,85,-177,3384,normal
74364,670,1052,9235,normal
74364,948,-48,6995,normal
74364,459,-214,11040,normal
74364,-1756,-1306,6755,normal
74364,555,2038,15312,normal
74364,-1168,-754,7430,normal
74381,-434,-1405,5763,normal
74381,1635,-937,3520,normal
74381,1275,692,3794,normal
74381,-1132,-880,8294,normal
74381,1580,1649,7810,normal
74381,-731,-2134,7838,normal
74381,248,2263,7386,normal
74381,-522,-2906,8693,normal
74381,-348,2269,7215,normal
74381,-1929,-2837,3452,normal
74381,3341,343,5464,normal
74381,43,234,6381,normal
74381,-297,-2118,10628,normal
74381,-817,1760,9396,normal
74381,-130,-179,13042,normal
74381,1352,1282,9157,normal
74381,753,-1613,5556,normal
74381,-1005,-339,2096,normal
74381,-1062,-2658,3410,normal
74381,-611,762,5788,normal
74381,-523,-313,9930,normal
74381,4865,1074,10301,normal
74381,-41,-686,10486,normal
74381,-1677,1006,10239,normal
74381,-2502,-1336,10789,normal
74381,844,447,7494,normal
74381,1471,-2483,5908,normal
74381,877,340,1591,normal
74381,-1469,-380,6459,normal
74381,1262,-55,7557,normal
74381,1292,437,12542,normal
74381,-1236,-908,12824,normal
74381,-1272,981,9691,normal
74381,495,-772,11881,normal
74381,2006,947,4284,normal
74381,-656,-2767,3181,normal
74381,-452,-842,1492,normal
74381,-559,218,9583,normal
74381,1048,1457,10116,normal
74381,159,-1745,9997,normal
74381,1085,969,9181,normal
74381,-1978,-1393,11939,normal
74381,69,1530,13394,normal
74381,-1666,-691,6701,normal
74381,2682,-1604,3422,normal
74381,1974,-1031,1343,normal
74381,-1355,470,7103,normal
74381,-2403,-773,9938,normal
74381,356,783,10928,normal
74381,1983,-225,10675,normal
74381,367,364,7979,normal
74381,-1416,-178,6918,normal
74381,-1289,-2329,4238,normal
74381,1499,460,3068,normal
74381,-205,-1303,6327,normal
74381,1983,1432,7138,normal
74381,345,-1925,10231,normal
74381,-1379,888,9426,normal
74381,-2082,-338,14652,normal
74381,270,1435,11644,normal
74381,1512,-2141,8898,normal
74381,1513,161,2631,normal
74381,-2291,-1625,1014,normal
74381,303,357,5301,normal
74398,1230,-592,6814,normal
74398,1771,279,12828,normal
74398,-2326,202,7776,normal
74398,-884,340,12780,normal
74398,1157,-78,9817,normal
74398,1112,-1002,9662,normal
74398,-1725,-1655,6340,normal
74398,-1016,-209,7162,normal
74398,1895,1639,10414,normal
74398,2948,-914,8014,normal
74398,-173,188,4569,normal
74398,-2557,-1713,9309,normal
74398,-1601,873,10183,normal
74398,530,456,13596,normal
74398,967,-1458,1873,normal
74398,1253,-1399,3997,normal
74398,800,588,6182,normal
74398,-1365,128,11418,normal
74398,-591,584,9694,normal
74398,1372,-2972,7694,normal
74398,1651,1767,9731,normal
74398,-3866,-481,8686,normal
74398,571,-223,10275,normal
74398,1312,-695,4022,normal
74398,344,-2207,4285,normal
74398,-285,1798,7414,normal
74398,83,-371,9120,normal
74398,256,-1108,6521,normal
74398,1437,-649,7488,normal
74398,-1335,1471,11458,normal
74398,-1504,-592,12748,normal
74398,874,-1386,7339,normal
74398,262,-142,6003,normal
74398,605,387,4825,normal
74398,474,-510,7908,normal
74398,1010,-71,6327,normal
74398,-492,-942,7748,normal
74398,-1489,369,5443,normal
74398,200,387,10689,normal
74398,2424,-346,8288,normal
74398,-1452,-171,6405,normal
74398,-1592,-1594,5118,normal
74398,1580,470,8411,normal
74398,881,-844,10911,normal
74398,-1046,793,7344,normal
74398,388,-653,9435,normal
74398,2264,585,8255,normal
74398,-746,-794,9015,normal
74398,-2342,-485,6058,normal
74398,-1566,-1288,6988,normal
74398,3727,-85,9613,normal
74398,-718,-270,6988,normal
74398,-166,1488,10249,normal
74398,362,-1159,5800,normal
74398,1954,-150,8180,normal
74398,-636,-618,8117,normal
74398,-2812,-634,5743,normal
74398,-350,-406,9673,normal
74398,2550,-1516,7533,normal
74398,798,2474,11212,normal
74398,-2373,-2324,8729,normal
74398,1016,837,9633,normal
74398,992,58,12508,normal
74398,-680,-339,3099,normal
74415,-29,-646,7131,normal
74415,1220,-2128,2246,normal
74415,-1149,1025,10190,normal
74415,-1714,-109,8588,normal
74415,787,212,9696,normal
74415,2543,-356,9626,normal
74415,151,-278,7128,normal
74415,-2606,587,7394,normal
74415,363,-700,7043,normal
74415,1671,-3100,4617,normal
74415,-101,2957,6026,normal
74415,-1532,-2185,8875,normal
74415,2246,1298,10060,normal
74415,-1898,-1228,9161,normal
74415,-68,-104,9627,normal
74415,298,1936,11278,normal
74415,1378,-3109,7931,normal
74415,-1028,294,3520,normal
74415,168,89,6646,normal
74415,128,-359,6927,normal
74415,1897,-254,9504,normal
74415,-2052,-1412,6760,normal
74415,-589,2480,12018,normal
74415,475,-2412,9194,normal
74415,76,623,9627,normal
74415,480,-297,8021,normal
74415,-441,-607,6283,normal
74415,2021,98,8539,normal
74415,-1060,-1054,5026,normal
74415,-282,903,6713,normal
74415,542,-2128,8197,normal
74415,1352,1608,9978,normal
74415,-3441,-1974,9941,normal
74415,-251,1320,8452,normal
74415,2514,-658,8720,normal
74415,1695,11,4499,normal
74415,-224,-1048,4856,normal
74415,-1647,-472,3860,normal
74415,-205,-412,8624,normal
74415,1298,-1038,10815,normal
74415,-927,1363,8273,normal
74415,-709,-1778,12335,normal
74415,2058,1830,10977,normal
74415,-1367,-467,9750,normal
74415,-414,-1031,3077,normal
74415,2580,-1611,4178,normal
74415,569,717,4381,normal
74415,-2276,-1055,6982,normal
74415,507,-249,10031,normal
74415,-179,914,11132,normal
74415,504,-1233,13438,normal
74415,332,2272,11685,normal
74415,-2104,-1311,7003,normal
74415,2370,-997,4296,normal
74415,1067,-1217,1124,normal
74415,-537,974,5111,normal
74415,-759,-2541,6306,normal
74415,1308,1274,11242,normal
74415,-1933,1170,13836,normal
74415,434,-823,11112,normal
74415,831,802,12100,normal
74415,430,-1294,5751,normal
74415,-1697,-747,3674,normal
74415,210,-896,4078,normal
74432,3093,-504,5961,normal
74432,-503,-346,6421,normal
74432,-1051,282,10707,normal
74432,-31,1131,15087,normal
74432,318,-368,11813,normal
74432,-3419,-2113,6375,normal
74432,2677,2240,6079,normal
74432,492,-3134,1065,normal
74432,2313,1122,1885,normal
74432,-1672,-2938,1980,normal
74432,-247,1924,8699,normal
74432,-501,-871,13387,normal
74432,1901,1104,13368,normal
74432,-1963,550,11908,normal
74432,-1622,-2404,7168,normal
74432,1247,571,5958,normal
74432,979,-1265,6270,normal
74432,99,-458,1342,normal
74432,561,-1032,6566,normal
74432,1931,1602,8233,normal
74432,-1847,-344,12672,normal
74432,-796,294,10657,normal
74432,-792,-1014,11432,normal
74432,94,932,7118,normal
74432,-915,-1810,6557,normal
74432,2630,486,2839,normal
74432,204,-1751,2658,normal
74432,1399,-412,7883,normal
74432,-1111,2141,11841,normal
74432,-1976,-444,13482,normal
74432,1784,-217,9646,normal
74432,711,-188,8505,normal
74432,-1908,-615,5875,normal
74432,-2126,-1319,5904,normal
74432,2576,83,5541,normal
74432,1437,-1271,5752,normal
74432,1878,760,7998,normal
74432,-2025,-202,12352,normal
74432,-861,1428,11205,normal
74432,-833,-1039,9697,normal
74432,1926,593,3155,normal
74432,439,-2358,1676,normal
74432,-1394,-2040,-435,normal
74432,-1345,150,7455,normal
74432,138,569,10512,normal
74432,3717,238,13052,normal
74432,1592,865,13176,normal
74432,-1493,554,10528,normal
74432,-3873,-1764,9182,normal
74432,86,-334,3464,normal
74432,369,-2573,1805,normal
74432,3175,742,2315,normal
74432,-309,-777,4428,normal
74432,-294,1211,7928,normal
74432,8,-1262,12996,normal
74432,598,1412,15546,normal
74432,-1611,341,13615,normal
74432,-1248,-1048,6626,normal
74432,2813,494,4175,normal
74432,252,-3065,-951,normal
74432,-1007,24,1785,normal
74432,-1486,-1380,7792,normal
74432,3964,2852,14346,normal
74432,-914,-658,13469,normal
74450,294,513,11232,normal
74450,-1472,-1396,13592,normal
74450,-51,595,11856,normal
74450,-3261,-1106,6360,normal
74450,4121,531,4456,normal
74450,2771,-3132,-138,normal
74450,-352,1042,4656,normal
74450,-3877,-796,9345,normal
74450,892,2074,16638,normal
74450,2275,-819,12608,normal
74450,-878,-506,8619,normal
74450,-1212,913,5838,normal
74450,-1338,-3134,3950,normal
74450,3313,719,3158,normal
74450,-1765,-2146,2485,normal
74450,1821,2395,7398,normal
74450,377,-3110,10216,normal
74450,970,2917,11945,normal
74450,-4604,-2330,12335,normal
74450,623,2252,10818,normal
74450,1969,-2511,12338,normal
74450,1327,522,3501,normal
74450,-4302,-2522,-192,normal
74450,1758,248,4632,normal
74450,3568,440,8951,normal
74450,-241,62,13057,normal
74450,-3145,-344,8358,normal
74450,-229,227,14540,normal
74450,1379,452,9883,normal
74450,220,-1580,10953,normal
74450,-1237,166,3814,normal
74450,-814,-2277,8558,normal
74450,2852,2467,7138,normal
74450,330,-774,7880,normal
74450,872,357,4680,normal
74450,-957,-2081,7772,normal
74450,-1327,1474,10092,normal
74450,-1409,4,11084,normal
74450,1242,-760,4236,normal
74450,1780,-2359,3423,normal
74450,633,908,6762,normal
74450,-1296,528,12280,normal
74450,-1546,-356,9571,normal
74450,3017,-1607,10417,normal
74450,313,218,8770,normal
74450,-2372,1454,11286,normal
74450,-900,-2719,8701,normal
74450,1811,758,4617,normal
74450,593,-1896,6638,normal
74450,-131,1292,3458,normal
74450,-294,-1114,9531,normal
74450,782,-491,4686,normal
74450,299,-94,8852,normal
74450,-1272,929,9666,normal
74450,-437,-1453,9771,normal
74450,1266,1,10724,normal
74450,-1269,-570,4595,normal
74450,-119,677,7476,normal
74450,2987,-981,8199,normal
74450,789,-277,7894,normal
74450,-3211,474,7077,normal
74450,-854,-1454,5575,normal
74450,3148,2289,9781,normal
74450,607,-2209,4598,normal
74467,-2059,121,3643,normal
74467,-1083,-518,6217,normal
74467,1791,-1306,9167,normal
74467,553,961,10902,normal
74467,-1434,196,9160,normal
74467,2170,-190,10765,normal
74467,1325,346,8731,normal
74467,-1675,-1192,9378,normal
74467,-2766,250,3294,normal
74467,-96,-2077,6080,normal
74467,4569,308,7786,normal
74467,-766,719,6288,normal
74467,-2297,-956,9749,normal
74467,555,85,7924,normal
74467,2178,719,14102,normal
74467,-715,-488,8632,normal
74467,-1092,-550,5579,normal
74467,-911,-1603,6510,normal
74467,1319,-667,6770,normal
74467,-312,2000,10554,normal
74467,-379,-2364,6611,normal
74467,2246,478,10192,normal
74467,46,709,11354,normal
74467,-2456,-47,8191,normal
74467,1256,-302,9166,normal
74467,924,-3657,3293,normal
74467,-369,2807,10600,normal
74467,-2944,-1184,5380,normal
74467,2087,636,8965,normal
74467,3144,-1834,4097,normal
74467,-1358,446,5802,normal
74467,-2552,760,9980,normal
74467,741,-1138,9273,normal
74467,1429,-1375,8524,normal
74467,-1137,886,4338,normal
74467,528,181,10580,normal
74467,2108,-619,9310,normal
74467,-2087,-401,7068,normal
74467,-1461,-582,6952,normal
74467,756,622,6007,normal
74467,3390,-1264,10795,normal
74467,-2014,-280,2624,normal
74467,-1252,400,10587,normal
74467,258,-1180,8418,normal
74467,1150,735,11835,normal
74467,-1082,-534,8699,normal
74467,685,834,6094,normal
74467,1388,-1344,8524,normal
74467,-1582,-703,4232,normal
74467,-1092,267,8749,normal
74467,1124,-571,6904,normal
74467,2483,-197,9261,normal
74467,-940,278,9657,normal
74467,-2349,-56,7443,normal
74467,1367,-583,12886,normal
74467,1109,-45,6094,normal
74467,-1315,-892,8090,normal
74467,32,162,5063,normal
74467,1208,-802,7792,normal
74467,-288,-245,6796,normal
74467,143,-346,6802,normal
74467,783,82,9890,normal
74467,138,752,9107,normal
74467,-960,-2459,8928,normal
74484,-364,1595,6507,normal
74484,-309,-2887,7086,normal
74484,2135,1495,9424,normal
74484,-978,-543,9519,normal
74484,-105,-569,8802,normal
74484,12,-468,7203,normal
74484,1822,27,10991,normal
74484,-1250,877,7738,normal
74484,569,-1857,10181,normal
74484,-768,-118,4769,normal
74484,-1107,-518,8020,normal
74484,1643,40,9358,normal
74484,602,703,6150,normal
74484,672,-506,7696,normal
74484,-941,-1245,3532,normal
74484,546,2378,9338,normal
74484,-463,-3607,5827,normal
74484,1453,1191,4164,normal
74484,-2431,-788,10275,normal
74484,971,736,6954,normal
74484,736,-237,11627,normal
74484,943,-916,4736,normal
74484,-1448,-405,6990,normal
74484,-538,474,8757,normal
74484,1420,-629,7806,normal
74484,729,-72,5606,normal
74484,-911,-1753,3201,normal
74484,428,602,9699,normal
74484,602,1868,10242,normal
74484,-2686,-3969,8482,normal
74484,1407,3245,6632,normal
74484,-174,-3201,8377,normal
74484,2935,2994,7346,normal
74484,-3250,-3083,5292,normal
74484,1236,212,7417,normal
74484,-973,-399,7457,normal
74484,2484,1113,11555,normal
74484,-874,-1263,8377,normal
74484,-6,865,8709,normal
74484,-2348,-2218,6999,normal
74484,2368,2133,10348,normal
74484,-291,-1588,7237,normal
74484,-786,-1471,4713,normal
74484,1524,1306,7075,normal
74484,-1246,-624,8488,normal
74484,1885,1230,9382,normal
74484,-807,-3276,7610,normal
74484,-50,3095,6139,normal
74484,-1763,-3007,11085,normal
74484,2894,2496,4884,normal
74484,-2516,-4005,6589,normal
74484,2881,1512,5705,normal
74484,-1747,-1589,10961,normal
74484,-447,2968,11048,normal
74484,431,-3525,8420,normal
74484,3183,2235,7664,normal
74484,-3004,-1883,6296,normal
74484,-173,-413,7989,normal
74484,-281,1013,5826,normal
74484,678,-2955,6440,normal
74484,1636,1301,3818,normal
74484,-1064,-981,11064,normal
74484,86,1730,7637,normal
74484,-597,-2020,10168,normal
74501,1226,1803,4119,normal
74501,41,-2138,7085,normal
74501,1717,-408,4859,normal
74501,-4333,-1678,8534,normal
74502,198,2113,9648,normal
74502,1471,-2151,10723,normal
74502,3955,3203,11607,normal
74502,-2140,-2904,7305,normal
74502,-1955,918,7697,normal
74502,-95,-1345,9799,normal
74502,212,-519,5543,normal
74502,814,808,6760,normal
74502,2193,-1037,4578,normal
74502,1366,1076,5704,normal
74502,-3632,-2710,9465,normal
74502,-2143,1709,8249,normal
74502,2618,-649,16250,normal
74502,976,-132,2050,normal
74502,893,278,11180,normal
74502,-490,-962,727,normal
74502,-1342,-919,8824,normal
74502,63,-1210,8271,normal
74502,1264,765,10796,normal
74502,-381,1136,12441,normal
