timestamp,ax,ay,az,label
19573,-32764,2759,32764,normal
19573,-32764,27733,-6643,normal
19573,3216,-966,20772,normal
19573,-2545,4114,16004,normal
19573,-4877,-6917,4496,normal
19573,11845,224,7850,normal
19573,-3285,2881,9853,normal
19573,-12087,383,7536,normal
19573,11656,-1270,5101,normal
19573,4100,-2643,139,normal
19573,-13241,675,5994,normal
19573,2420,2358,9524,normal
19573,14028,-510,14648,normal
19573,-4684,-457,-233,normal
19573,-13918,-3655,-1277,normal
19573,11439,3426,4013,normal
19573,4457,-559,9740,normal
19573,-13886,-894,2436,normal
19573,6384,-1591,2095,normal
19573,8311,1373,7307,normal
19573,-6192,-1492,4593,normal
19573,-926,407,11638,normal
19573,2182,9,3547,normal
19573,-7862,-3563,5071,normal
19573,5556,2669,8140,normal
19573,9619,1983,14002,normal
19573,-15408,-2716,5300,normal
19573,-2396,-5196,3953,normal
19573,20045,8148,9508,normal
19573,-8740,-4543,4706,normal
19573,-4902,-1683,10199,normal
19573,113,4118,12611,normal
19573,1729,-3546,4695,normal
19573,5700,994,7986,normal
19573,-6593,1860,4947,normal
19573,-4785,-4351,11499,normal
19573,13824,2394,6976,normal
19573,-277,1513,9788,normal
19573,-10621,-1654,7224,normal
19573,4356,-2488,15097,normal
19573,1164,5912,8750,normal
19573,-2380,-4309,-2520,normal
19573,3078,1770,6294,normal
19573,-1615,-3587,203,normal
19573,-3824,2914,9770,normal
19573,11106,1438,-3131,normal
19573,1237,-2659,6106,normal
19573,-8878,-2674,-2454,normal
19573,-2899,1955,15601,normal
19573,7688,2768,8448,normal
19573,-1643,-4338,11641,normal
19573,-3898,162,6006,normal
19573,-310,-2118,13884,normal
19573,9057,6665,8689,normal
19573,-9846,-6250,1837,normal
19573,6032,-3055,-2710,normal
19573,388,3186,13424,normal
19573,-6656,1488,7892,normal
19573,3837,-2888,20649,normal
19573,6789,1374,4230,normal
19573,-11080,-4060,12517,normal
19573,346,3566,4939,normal
19573,7277,-646,14268,normal
19573,-2935,6,-1685,normal
19590,-346,-4079,921,normal
19590,2215,6522,7564,normal
19590,412,-5971,6462,normal
19590,-1648,3816,14558,normal
19590,2120,-2577,4863,normal
19590,63,1634,21340,normal
19590,-6570,-1762,10674,normal
19590,4976,101,22316,normal
19590,4623,4402,7786,normal
19590,-12682,-7371,5395,normal
19590,8160,2457,1960,normal
19590,4321,1381,5100,normal
19590,782,-655,3463,normal
19590,-5735,-2000,6176,normal
19590,-2485,-1165,10528,normal
19590,9843,2722,18762,normal
19590,-3699,1761,13119,normal
19590,-10827,-4734,9349,normal
19590,9287,-558,4549,normal
19590,-446,712,10141,normal
19590,-636,1015,1819,normal
19590,1482,-2519,11504,normal
19590,-692,-1469,2002,normal
19590,4519,-792,14324,normal
19590,-3010,6128,11101,normal
19590,-9672,-8215,11970,normal
19590,5854,1463,10716,normal
19590,5493,1700,11039,normal
19590,-4798,1328,9364,normal
19590,-5737,-4783,2738,normal
19590,11610,280,2989,normal
19590,4284,1446,5352,normal
19590,-10763,-1933,8358,normal
19590,-5834,-88,20443,normal
19590,11801,2288,11873,normal
19590,-2006,877,11208,normal
19590,-2501,-4479,-5978,normal
19590,-1828,-733,17646,normal
19590,-1841,1618,5776,normal
19590,7282,1288,17171,normal
19590,8114,2044,-236,normal
19590,-9738,-7123,12343,normal
19590,-6697,4018,4506,normal
19590,2624,1567,6437,normal
19590,6714,-313,-6348,normal
19590,-4021,-8478,4071,normal
19590,5321,6983,11837,normal
19590,-4934,2587,19049,normal
19590,7270,-4365,547,normal
19590,-2650,-764,6393,normal
19590,-9399,-3466,-7393,normal
19590,4894,4527,22447,normal
19590,4707,638,9264,normal
19590,-5739,-3154,18153,normal
19590,-3229,-289,-3509,normal
19590,12992,-646,7592,normal
19590,1569,5423,-2039,normal
19590,-18274,-11528,-1973,normal
19590,10491,4341,11444,normal
19590,4489,2463,21245,normal
19590,-9723,1322,24387,normal
19590,3967,-3276,12274,normal
19590,8068,56,3727,normal
19590,-14902,479,-6846,normal
19608,-1388,-6470,2172,normal
19608,22167,8357,16425,normal
19608,-13312,-2926,10977,normal
19608,-1637,-1181,11803,normal
19608,10899,5830,12050,normal
19608,-9816,-8002,764,normal
19608,-8200,3970,-2432,normal
19608,8658,-3804,-219,normal
19608,15419,3731,16638,normal
19608,-18254,-3328,18322,normal
19608,600,3359,21706,normal
19608,17843,4431,6006,normal
19608,-16086,-12430,-9189,normal
19608,-621,3059,-2509,normal
19608,-914,4373,17112,normal
19608,1895,-1007,13297,normal
19608,8066,-2498,15261,normal
19608,3718,2497,683,normal
19608,-10551,-2182,8493,normal
19608,650,-4094,153,normal
19608,1281,5014,14217,normal
19608,-2521,-5538,8670,normal
19608,2573,2973,31611,normal
19608,-1712,4606,18900,normal
19608,-2216,-4204,5517,normal
19608,9274,-1048,-17208,normal
19608,-7789,-4754,-17345,normal
19608,-2008,2238,-520,normal
19608,8409,1904,20797,normal
19608,3067,4000,19062,normal
19608,-8011,-3401,11493,normal
19608,2310,-2028,3279,normal
19608,-4604,-112,5207,normal
19608,-2781,1230,-5649,normal
19608,2347,-2330,8938,normal
19608,12739,-768,6159,normal
19608,-5569,4072,24030,normal
19608,-4977,602,2921,normal
19608,9482,-4590,4616,normal
19608,-8452,425,-13628,normal
19608,-11880,-4651,1497,normal
19608,13821,8777,16918,normal
19608,7678,-2613,16915,normal
19608,-7273,223,8013,normal
19608,-5024,-5362,-3973,normal
19608,13139,4169,4620,normal
19608,-6507,-2008,-197,normal
19608,-11574,-1945,5996,normal
19608,8811,2017,16481,normal
19608,7305,774,17559,normal
19608,-8380,-320,19267,normal
19608,-1722,-614,806,normal
19608,5077,-3731,4548,normal
19608,1976,1374,-7082,normal
19608,-8648,-14,12537,normal
19608,7110,1938,12557,normal
19608,5756,-1482,22488,normal
19608,-13981,-1227,11566,normal
19608,5581,1130,8931,normal
19608,2397,565,13383,normal
19608,-1071,-3942,-2698,normal
19608,-3476,3034,12869,normal
19608,2957,-1203,-2530,normal
19608,5962,-2424,21582,normal
19625,-2744,4476,5830,normal
19625,-5281,-4074,18183,normal
19625,6390,2811,3210,normal
19625,-6871,-4412,8859,normal
19625,6452,4643,4724,normal
19625,-5641,-2747,8500,normal
19625,2144,-2056,2084,normal
19625,6697,797,13102,normal
19625,921,2337,4190,normal
19625,-12356,-3210,12156,normal
19625,11631,-1827,-140,normal
19625,-3200,4645,18011,normal
19625,-10290,-7080,-4888,normal
19625,13208,2700,25761,normal
19625,-2840,3966,5040,normal
19625,-7389,-9675,14636,normal
19625,16430,7893,4832,normal
19625,-7988,-4834,9602,normal
19625,-13150,312,6614,normal
19625,12038,-1741,10907,normal
19625,7404,5634,13283,normal
19625,-17355,-5891,559,normal
19625,4837,300,11952,normal
19625,15852,3987,2559,normal
19625,-12765,-5977,4174,normal
19625,-2699,1600,7283,normal
19625,9160,1258,18244,normal
19625,-3165,-319,17500,normal
19625,-6515,2419,6287,normal
19625,-47,-1964,1147,normal
19625,9963,-1851,-9485,normal
19625,-3608,-3478,2624,normal
19625,-1761,5992,7892,normal
19625,1829,-2937,24359,normal
19625,6402,577,15460,normal
19625,-5213,2107,12130,normal
19625,-6154,-1646,1748,normal
19625,-88,-1576,-797,normal
19625,-5888,-3075,-3379,normal
19625,13404,4131,-254,normal
19625,7788,502,10081,normal
19625,-8951,-3337,1952,normal
19625,-5,1407,4374,normal
19625,7279,-674,-560,normal
19625,-11469,-1134,4168,normal
19625,-10986,-4792,18204,normal
19625,17254,8893,28182,normal
19625,-3705,-1652,23576,normal
19625,196,-2874,-3797,normal
19625,5578,-1898,6258,normal
19625,-7292,-2297,-12085,normal
19625,-1621,708,14333,normal
19625,9274,4722,9964,normal
19625,-5122,-4416,29841,normal
19625,-6400,1981,15386,normal
19625,4759,2394,13372,normal
19625,4450,-1924,-2559,normal
19625,-8887,-7689,-7749,normal
19625,-664,6085,1954,normal
19625,14264,412,13768,normal
19625,7110,2923,18967,normal
19625,-23676,-3780,8537,normal
19625,4988,-3633,2908,normal
19625,12984,6384,15506,normal
19642,-15014,-4444,0,normal
19642,-2252,-1777,24263,normal
19642,18852,3602,12453,normal
19642,-8189,752,21575,normal
19642,-6898,-1340,-11736,normal
19642,13876,-3716,3957,normal
19642,-6556,1817,-12640,normal
19642,-15201,-4715,4709,normal
19642,19446,9260,15600,normal
19642,4560,-7459,22287,normal
19642,-14103,3083,12563,normal
19642,-3269,-365,2567,normal
19642,17158,-2524,-3759,normal
19642,-11155,-1813,-5150,normal
19642,-8967,-2606,4270,normal
19642,14097,7721,26137,normal
19642,-379,-4985,14178,normal
19642,-206,1460,14703,normal
19642,-4656,2635,-7509,normal
19642,-4712,-7057,-9649,normal
19642,4202,3088,-19476,normal
19642,1715,-2825,-2014,normal
19642,6384,5424,9779,normal
19642,-5922,-5246,20128,normal
19642,3960,5616,15068,normal
19642,2588,-1675,6074,normal
19642,-7623,-3338,-8299,normal
19642,-8550,-1476,1991,normal
19642,7961,839,11504,normal
19642,3286,4425,26945,normal
19642,1006,-3688,9728,normal
19642,4776,1670,18338,normal
19642,-1543,-1944,-4375,normal
19642,-10928,-1235,3942,normal
19642,3711,821,-8294,normal
19642,4784,-1825,21247,normal
19642,-3797,2462,18277,normal
19642,-554,500,27367,normal
19642,11338,3033,9484,normal
19642,-4855,-7311,-4869,normal
19642,-8303,-1408,-8357,normal
19642,5377,1702,8820,normal
19642,505,3007,23067,normal
19642,-3309,-1567,23308,normal
19642,9242,1407,18611,normal
19642,-3682,-1943,10705,normal
19642,-6647,-1881,-267,normal
19642,136,232,3084,normal
19642,6691,-1596,-393,normal
19642,2296,-84,21600,normal
19642,-5950,4555,20381,normal
19642,154,-1702,19315,normal
19642,5928,-1734,-1048,normal
19642,-1457,-3272,-6237,normal
19642,-12652,507,5210,normal
19642,6172,-1016,14549,normal
19642,11399,4991,28208,normal
19642,-2925,-1121,6504,normal
19642,-8655,-3637,8912,normal
19642,3024,-1352,-5569,normal
19642,4063,1185,5067,normal
19642,-9030,584,2378,normal
19642,4796,-5246,15005,normal
19642,7292,6347,29710,normal
19659,-2796,-2315,19631,normal
19659,-2071,3453,16482,normal
19659,-8449,-8548,-12245,normal
19659,6823,-1669,4217,normal
19659,-504,7716,5564,normal
19659,-5834,-2863,14073,normal
19659,14608,858,11196,normal
19659,-422,-4567,4510,normal
19659,-9182,4310,4388,normal
19659,-809,-2902,2849,normal
19659,7577,-283,11776,normal
19659,-7506,-90,11725,normal
19659,-2879,2454,13277,normal
19659,6067,1150,15031,normal
19659,6007,-4267,-3790,normal
19659,-9093,59,-477,normal
19659,3850,-1984,-11843,normal
19659,3675,737,21621,normal
19659,-5192,2312,12093,normal
19659,2978,-775,29719,normal
19659,-2006,3758,3194,normal
19659,-6277,-9620,1191,normal
19659,6680,5716,1298,normal
19659,-957,-2986,1028,normal
19659,-1716,1261,10245,normal
19659,8774,-2171,9733,normal
19659,3480,3438,23694,normal
19659,-11025,-1123,7855,normal
19659,-4298,-1907,8812,normal
19659,182,1393,-3161,normal
19659,5108,-6617,1811,normal
19659,7481,8308,14237,normal
19659,-14696,-2385,10289,normal
19659,12347,-3703,11917,normal
19659,13259,4985,1589,normal
19659,-19263,-5462,-876,normal
19659,-6611,408,14995,normal
19659,12888,1817,22358,normal
